story_id,conversation_id,cond,n_annotators,mean_coherence_element_consistency,mean_coherence_logical_progression,mean_creativity_originality,mean_creativity_surprisingness,mean_likeability_enjoyability,mean_likeability_quality,mean_lead_time,overall_coherence,overall_creativity,overall_likeability,ann1_annotator,ann1_coherence_element_consistency,ann1_coherence_logical_progression,ann1_creativity_originality,ann1_creativity_surprisingness,ann1_likeability_enjoyability,ann1_likeability_quality,ann1_lead_time,ann1_comments,ann2_annotator,ann2_coherence_element_consistency,ann2_coherence_logical_progression,ann2_creativity_originality,ann2_creativity_surprisingness,ann2_likeability_enjoyability,ann2_likeability_quality,ann2_lead_time,ann2_comments,n_sentences,n_words
188SQKM20FYzYRFIJ08U,188SQKM20FYzYRFIJ08U,HH,2,4.0,3.5,5.0,3.5,5.0,4.0,203.747,3.75,4.25,4.5,1.0,3.0,2.0,5.0,2.0,5.0,3.0,34.714,h-h,2.0,5.0,5.0,5.0,5.0,5.0,5.0,372.78,I think it is human-human,43,572
1jhKtdiCFYhLl4Itr0tM,1jhKtdiCFYhLl4Itr0tM,HH,2,3.0,2.5,4.5,1.5,5.0,1.5,262.683,2.75,3.0,3.25,1.0,1.0,4.0,4.0,2.0,5.0,2.0,71.857,h-h,2.0,5.0,1.0,5.0,1.0,5.0,1.0,453.508,it is definitely human-human,33,446
599Km2RY5nTNKI7vG2Wb,599Km2RY5nTNKI7vG2Wb,HH,2,4.5,5.0,5.0,4.0,4.5,4.5,230.741,4.75,4.5,4.5,1.0,4.0,5.0,5.0,3.0,4.0,4.0,256.56,h-h,2.0,5.0,5.0,5.0,5.0,5.0,5.0,204.922,Human-human,40,505
6Jv806AoPWPYePMobUvx,6Jv806AoPWPYePMobUvx,HH,2,3.5,3.5,1.5,3.5,2.0,3.5,221.885,3.5,2.5,2.75,2.0,3.0,4.0,1.0,4.0,2.0,4.0,145.572,human-ai,1.0,4.0,3.0,2.0,3.0,2.0,3.0,298.197,H-AI. They set up some plot points in the start that were completely forgotten,29,519
7wPRj5Wbc26nlx60LUT5,7wPRj5Wbc26nlx60LUT5,HH,2,3.0,3.0,4.5,2.0,4.0,2.5,208.028,3.0,3.25,3.25,2.0,2.0,3.0,4.0,1.0,4.0,3.0,141.926,human-human,1.0,4.0,3.0,5.0,3.0,4.0,2.0,274.131,"H-H. i love ""rat hinge""",35,526
9MYVXy4Nms9gfR1DI7NA,9MYVXy4Nms9gfR1DI7NA,HH,2,3.5,2.0,5.0,2.0,4.0,2.5,297.618,2.75,3.5,3.25,1.0,2.0,1.0,5.0,1.0,3.0,1.0,441.18,h-h,2.0,5.0,3.0,5.0,3.0,5.0,4.0,154.055,human-human,40,519
BocRhyGX0eWpgbUSkjWF,BocRhyGX0eWpgbUSkjWF,HH,2,2.0,3.5,5.0,1.5,4.5,3.5,187.137,2.75,3.25,4.0,2.0,2.0,3.0,5.0,1.0,5.0,4.0,79.43,human-human,1.0,2.0,4.0,5.0,2.0,4.0,3.0,294.844,H-H. mindblowing,32,539
D8kJXS3suDI2tltssVgN,D8kJXS3suDI2tltssVgN,HH,2,2.5,1.5,5.0,1.0,1.0,1.5,266.241,2.0,3.0,1.25,2.0,1.0,1.0,5.0,1.0,1.0,2.0,159.702,wtf? human-human,1.0,4.0,2.0,5.0,,1.0,1.0,372.781,H-H. huh.,44,617
EVPkCWSrT9SwL38W9Zuk,EVPkCWSrT9SwL38W9Zuk,HH,2,2.5,3.0,5.0,2.0,3.0,2.5,164.948,2.75,3.5,2.75,2.0,1.0,2.0,5.0,2.0,2.0,2.0,138.317,human-human,1.0,4.0,4.0,5.0,2.0,4.0,3.0,191.579,H-H. that derailed fast,32,572
FTAeksA8Y0QOBPW6kxWX,FTAeksA8Y0QOBPW6kxWX,HH,2,4.0,4.5,4.0,4.5,4.5,4.5,180.533,4.25,4.25,4.5,2.0,3.0,4.0,5.0,4.0,5.0,4.0,188.357,human-human,1.0,5.0,5.0,3.0,5.0,4.0,5.0,172.709,H-H,51,566
