story_id,conversation_id
claude-sonnet-4-5-20250929__claude-sonnet-4-5-20250929__story_001,conv_59e8e9f9a5c64b0da5c6cff69389f0a7
claude-sonnet-4-5-20250929__claude-sonnet-4-5-20250929__story_002,conv_10fe9e02b6684523bc712a52a3984c46
claude-sonnet-4-5-20250929__claude-sonnet-4-5-20250929__story_003,conv_fc146e34673a45a6ada12ec05aa76010
claude-sonnet-4-5-20250929__claude-sonnet-4-5-20250929__story_004,conv_3c5e3a60ee1b4eaea033c9a0d6e8f8ca
claude-sonnet-4-5-20250929__claude-sonnet-4-5-20250929__story_005,conv_108e3acacfc546c69f78ed23326422ad
claude-sonnet-4-5-20250929__claude-sonnet-4-5-20250929__story_006,conv_a36059d8ae814320a329548dc89aa43b
claude-sonnet-4-5-20250929__claude-sonnet-4-5-20250929__story_007,conv_19eaed2c80bf427e9bd28e36eec61178
claude-sonnet-4-5-20250929__gpt-4.1-2025-04-14__story_001,conv_d9a78a11125c4b758f494ae262ca0c83
claude-sonnet-4-5-20250929__gpt-4.1-2025-04-14__story_002,conv_263a2d932bd1433fbdf29930eb8099a2
claude-sonnet-4-5-20250929__gpt-4.1-2025-04-14__story_003,conv_e9dec235b8e947e79ff7f30aecf07d58
claude-sonnet-4-5-20250929__gpt-4.1-2025-04-14__story_004,conv_e1b18b080c424414aa29e1f9881dd347
claude-sonnet-4-5-20250929__gpt-4.1-2025-04-14__story_005,conv_70ad5af6ba2e48278bbd9a7aa749b9e7
claude-sonnet-4-5-20250929__gpt-4.1-2025-04-14__story_006,conv_a95cc413c7a9403c874c54f6876aac85
claude-sonnet-4-5-20250929__gpt-4.1-2025-04-14__story_007,conv_bbf2e55bcb81453ea2de05d09ee4dc07
claude-sonnet-4-5-20250929__llama-70b__story_001,conv_738c5c614a6b466c83e6303ab32ab76e
claude-sonnet-4-5-20250929__llama-70b__story_002,conv_6b38bb4874c74771bfda04d7ed388e44
claude-sonnet-4-5-20250929__llama-70b__story_003,conv_309b09e10fad4b558c2f32e1082570b8
claude-sonnet-4-5-20250929__llama-70b__story_004,conv_c2cf7b6067f9441b993e3f5ee24bddaf
claude-sonnet-4-5-20250929__llama-70b__story_005,conv_767f4e012b974a319448f049fadb24ad
claude-sonnet-4-5-20250929__llama-70b__story_006,conv_df940bf192af442aa6b4f349f27381ef
claude-sonnet-4-5-20250929__llama-70b__story_007,conv_72fde8484e8a4e16afb9921857f436b2
claude-sonnet-4-5-20250929__qwen-72b__story_001,conv_8219f2eeea97436b89e83b9d0c0c2924
claude-sonnet-4-5-20250929__qwen-72b__story_002,conv_2d25a75a60114aeaae4278b31d9a4888
claude-sonnet-4-5-20250929__qwen-72b__story_003,conv_14c1e580bdf849408b4269db5c18f37c
claude-sonnet-4-5-20250929__qwen-72b__story_005,conv_4ca58b2f432a41999edd2b838d3d9303
claude-sonnet-4-5-20250929__qwen-72b__story_006,conv_88eeb9c94b974c70b4689ec6d341ed7e
claude-sonnet-4-5-20250929__qwen-72b__story_007,conv_7d0c7e3f0c0042ba91e42ff0f61cb2e5
gpt-4.1-2025-04-14__claude-sonnet-4-5-20250929__story_001,conv_884ea79d232948278265718c7635dc12
gpt-4.1-2025-04-14__claude-sonnet-4-5-20250929__story_002,conv_489f8d2f9d644f51a1d0a683b96619e9
gpt-4.1-2025-04-14__claude-sonnet-4-5-20250929__story_003,conv_50252ebdc1f84074acbc130461dc3683
gpt-4.1-2025-04-14__claude-sonnet-4-5-20250929__story_004,conv_8ea182b6c2774c32bc711851e0f33eba
gpt-4.1-2025-04-14__claude-sonnet-4-5-20250929__story_005,conv_3ee73234754240d09f68987462dae67e
gpt-4.1-2025-04-14__claude-sonnet-4-5-20250929__story_006,conv_83f444d58cbd443c82f6355d878e7595
gpt-4.1-2025-04-14__claude-sonnet-4-5-20250929__story_007,conv_5f36f11261f64de08500e33268032467
gpt-4.1-2025-04-14__gpt-4.1-2025-04-14__story_001,conv_6206a6e804514f058bf50b018b0f47e8
gpt-4.1-2025-04-14__gpt-4.1-2025-04-14__story_002,conv_28251d850afb41a79b06bb6449c3d4e9
gpt-4.1-2025-04-14__gpt-4.1-2025-04-14__story_003,conv_b90e5cfa7ee6419ea19c6a8c24df0071
gpt-4.1-2025-04-14__gpt-4.1-2025-04-14__story_004,conv_eaa2de1e38814f44930c459404db4f15
gpt-4.1-2025-04-14__gpt-4.1-2025-04-14__story_005,conv_765d21e393c94b72a40f7dbd24491f2b
gpt-4.1-2025-04-14__gpt-4.1-2025-04-14__story_006,conv_4cba6a3404684bc3810c44422a4d6e3f
gpt-4.1-2025-04-14__gpt-4.1-2025-04-14__story_007,conv_26a2298978e547019b534db871b6cf78
gpt-4.1-2025-04-14__llama-70b__story_001,conv_71cc822bdd1b40f8a24788e4a599b9bf
gpt-4.1-2025-04-14__llama-70b__story_002,conv_3d0353b65e974fb7958a2c29e0d2c66a
gpt-4.1-2025-04-14__llama-70b__story_003,conv_f8fbf3f7fdc54bf498ebaf712a9b713d
gpt-4.1-2025-04-14__llama-70b__story_004,conv_9e9742396c7348699e424c6395ccc5af
gpt-4.1-2025-04-14__llama-70b__story_005,conv_570e2a67563b434582c0bfdc39f67b8c
gpt-4.1-2025-04-14__llama-70b__story_006,conv_178fdc669d7648bdb7e69ddfdf0712c7
gpt-4.1-2025-04-14__llama-70b__story_007,conv_9a9c64571a5545249de7c0a5f7dfacdc
gpt-4.1-2025-04-14__qwen-72b__story_001,conv_0a3189321e4e43098c5ef999160bfdb6
gpt-4.1-2025-04-14__qwen-72b__story_002,conv_0ac572991bf944eca5bed3e16af30e88
