id,ep_s0,ep_s_final,ep_total_drop,ep_n_body_sentences,ep_mean_delta,ep_var_delta,ep_max_delta,ep_max_delta_pos,ep_frac_negative_drops,ep_slope_norm,ep_linearity_r2,ep_auc,ep_mean_delta_tail,ep_mean_delta_rest,ep_tail_share,ep_tail_ratio,ep_n_sentences_total,ep_n_target_sentences,cond
conv_000cdfd292524cb2af708e5da4c2f0ae,4.746167182922363,2.973144054412842,1.7730231285095215,31.0,0.05719429446804908,0.028933911150077856,0.4601569175720215,0.03225806451612903,0.2903225806451613,0.6134338229894637,0.5961589339232356,0.6006931855043778,0.09336817264556885,0.048512563705444336,0.31596262161811084,1.9246183980808784,33.0,2.0,LLM-LLM
conv_01d1444f684c48af9cc5978f92742c23,4.5206170082092285,1.9660025835037231,2.5546144247055054,20.0,0.12773072123527526,0.058254968327852166,0.8783378601074219,0.05,0.35,1.309024095535278,0.7255662865396791,0.4927466589645687,0.26482442021369934,0.09345729649066925,0.4146604945976975,2.833640926475327,22.0,2.0,LLM-LLM
conv_02fdeabba72446648a887222c6b4a9a0,4.703103542327881,2.431447744369507,2.271655797958374,28.0,0.08113056421279907,0.10226698008726538,1.0764009952545166,0.03571428571428571,0.35714285714285715,0.5724456684799489,0.40428595572469217,0.6111895889572563,0.1291381518046061,0.06803758577866988,0.3410855251592278,1.8980413594435852,30.0,2.0,LLM-LLM
conv_0388f204ccd644f39221d0d8afff6d09,3.8000783920288086,1.7952663898468018,2.004812002182007,17.0,0.11793011777541217,0.04046555591204176,0.5275273323059082,0.17647058823529413,0.35294117647058826,1.099506407976151,0.8034999648849486,0.5933704346544271,0.18050098419189453,0.10452207497188024,0.2701016115158529,1.726917344881022,19.0,2.0,LLM-LLM
conv_052cfef2e39e4d5e8ec74772babb6fb8,,,,,,,,,,,,,,,,,5.0,2.0,LLM-LLM
conv_07895a6494a74fd3bbbf1c629d890e9d,3.752974510192871,2.6211841106414795,1.1317903995513916,22.0,0.05144501816142689,0.014471690516594112,0.48695921897888184,0.045454545454545456,0.3181818181818182,0.5084368249644408,0.8182684276402746,0.6420259197806542,0.057665228843688965,0.050062749120924205,0.20380179533788506,1.1518590140625584,24.0,2.0,LLM-LLM
conv_1135e4a162c64105aaf2934e6fecd74b,7.5491461753845215,1.3859144449234009,6.163231730461121,22.0,0.28014689683914185,0.7854636266518956,2.5407204627990723,0.045454545454545456,0.4090909090909091,3.3283460851041435,0.5900600400234193,0.4054004171034114,0.8293883502483368,0.15809324052598742,0.5382814643487589,5.246197417985127,24.0,2.0,LLM-LLM
conv_11c2622ee391485c9913d2f1479b665b,3.49674654006958,1.2691065073013306,2.2276400327682495,32.0,0.0696137510240078,0.07849802743818565,0.9667463302612305,0.03125,0.40625,0.43817620892678516,0.19001251562292676,0.4157579026442677,0.23630168040593466,0.031147305782024678,0.6364628313281477,7.586584921971196,34.0,2.0,LLM-LLM
conv_13f71095fd0a4a1d8a69de1414e8a7b7,4.516897678375244,2.546661853790283,1.970235824584961,27.0,0.0729716972068504,0.030206106322370148,0.5847001075744629,0.037037037037037035,0.48148148148148145,0.977132894180633,0.6055488106613663,0.6597903666364445,0.14085283279418945,0.057544166391546074,0.35745170968013623,2.4477343513118024,29.0,2.0,LLM-LLM
conv_145de5a68d014da88f143860a2aed6fd,8.210914611816406,2.5077626705169678,5.7031519412994385,22.0,0.2592341791499745,0.22417282737778124,1.518951416015625,0.7272727272727273,0.36363636363636365,4.36689669449137,0.8330432182195532,0.45843939835992464,0.4124388098716736,0.22518870565626356,0.28927078507938275,1.8315252919532987,24.0,2.0,LLM-LLM
