id,cond,llm,n_annot,consistency,coherence,originality,surprisingness,enjoyment,quality,coherence_comp,creativity_comp,attract_comp,overall,n_words,n_sentences,mean_word_length,mean_sentence_length,ttr,hapax_ratio,comma_density,flesch_approx,adjacent_sentence_similarity,semantic_distinctiveness,s_novelty,s_transience,s_resonance,ntr_unit,n_units_total,n_units_used
conv_000cdfd292524cb2af708e5da4c2f0ae,LLM-LLM,2,2,4.5,5.0,4.5,4.5,4.5,5.0,4.75,4.5,4.75,4.666666666666667,493.0,33.0,4.8884381338742395,14.93939393939394,0.5821501014198783,0.4401622718052738,81.13590263691684,67.08814801155575,0.048691820131065,0.5945257034381006,-4.5817233698708675,-1.1882427624293737,-3.3934806074414934,sentence,37,35
conv_01d1444f684c48af9cc5978f92742c23,LLM-LLM,2,2,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.5,4.833333333333333,488.0,22.0,4.971311475409836,22.181818181818183,0.6024590163934426,0.485655737704918,90.16393442622952,53.606520119225024,0.0683359458533287,0.5284320516072447,-3.604323836890134,-1.2955067537047646,-2.308817083185369,sentence,24,22
conv_02fdeabba72446648a887222c6b4a9a0,LLM-LLM,2,2,5.0,4.0,4.0,5.0,3.0,4.5,4.5,4.5,3.75,4.25,507.0,30.0,4.964497041420119,16.9,0.5680473372781065,0.4418145956607495,69.03353057199212,57.191559171597646,0.0650845647189268,0.5945257034381006,-4.015286175409953,-1.1690936883290608,-2.846192487080892,sentence,32,30
conv_0388f204ccd644f39221d0d8afff6d09,LLM-LLM,2,2,5.0,5.0,2.0,5.0,4.0,4.5,5.0,3.5,4.25,4.25,524.0,19.0,4.561068702290076,27.57894736842105,0.5438931297709924,0.3912213740458015,62.977099236641216,60.660689031739665,0.0859294705191626,0.6467325811000793,-6.398783877216004,-1.1624767233928044,-5.236307153823199,sentence,29,27
conv_052cfef2e39e4d5e8ec74772babb6fb8,LLM-LLM,2,2,5.0,5.0,1.5,4.0,1.0,4.0,5.0,2.75,2.5,3.4166666666666665,609.0,5.0,4.70935960591133,121.8,0.4597701149425287,0.3382594417077175,96.88013136288998,-46.40086699507387,0.2754153891368257,0.421543974921452,-1.466929038365682,-0.3036853075027466,-1.1632437308629353,sentence,5,3
conv_07895a6494a74fd3bbbf1c629d890e9d,LLM-LLM,2,2,5.0,4.0,2.5,5.0,2.0,4.0,4.5,3.75,3.0,3.75,569.0,24.0,4.639718804920914,23.708333333333332,0.5131810193321616,0.3620386643233743,93.14586994727593,59.36506627123613,0.0789387334502865,0.593020691698041,-2.885926214131442,-0.4884159564971924,-2.3975102576342495,sentence,24,22
conv_1135e4a162c64105aaf2934e6fecd74b,LLM-LLM,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,502.0,24.0,4.938247011952191,20.916666666666668,0.5856573705179283,0.4342629482071713,81.67330677290836,55.16553950863218,0.0449087384025239,0.6940693608862081,-3.5978810000419617,-0.8192932820320129,-2.7785877180099487,sentence,27,25
conv_11c2622ee391485c9913d2f1479b665b,LLM-LLM,2,2,4.0,4.5,2.5,4.0,4.5,4.0,4.25,3.25,4.25,3.9166666666666665,546.0,34.0,4.565934065934066,16.058823529411764,0.5677655677655677,0.4304029304029304,102.56410256410255,67.81881060116358,0.0307473209753416,0.6325069250200167,-3.887966537946149,-1.299614205956459,-2.58835233198969,sentence,40,38
conv_13f71095fd0a4a1d8a69de1414e8a7b7,LLM-LLM,2,2,5.0,5.0,2.0,5.0,4.5,5.0,5.0,3.5,4.75,4.416666666666667,551.0,29.0,4.607985480943738,19.0,0.542649727767695,0.4119782214156079,79.85480943738656,61.955081669691495,0.0623310433221312,0.6864807209142318,-3.637541957696279,-1.1990398486455285,-2.438502109050751,sentence,32,30
conv_145de5a68d014da88f143860a2aed6fd,LLM-LLM,2,2,4.5,4.5,2.5,2.5,3.0,3.5,4.5,2.5,3.25,3.4166666666666665,528.0,24.0,4.791666666666667,22.0,0.5852272727272727,0.4659090909090909,70.07575757575756,57.28454545454545,0.0825077054919001,0.6089503400993904,-2.952020211653276,-0.6823827732693065,-2.2696374383839695,sentence,24,22
